CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
17,30.6925575,7.0,5,2,1,4,1
17,18.1258,28.0,13,2,1,4,1
24,25.6341525,21.0,6,2,0,3,0
1,17.85597,6.0,4,2,0,2,0
24,20.6063,29.0,9,2,0,3,0
11,12.895575,27.0,11,2,0,3,0
11,18.0474525,22.0,8,2,0,3,0
11,34.7754,28.0,1,2,0,3,0
19,15.291375,28.0,4,1,0,4,0
16,18.11975,26.0,4,2,0,3,0
16,18.038075,10.0,17,2,0,3,0
11,18.0020775,22.0,13,2,0,3,0
3,11.979,33.0,1,2,0,2,0
11,18.146975,18.0,3,3,0,3,0
12,35.4478575,21.0,3,2,0,4,0
23,19.774425,26.0,13,2,0,5,0
6,34.7633,27.0,19,2,0,3,0
17,24.305875,44.0,10,2,1,4,1
17,21.538,46.0,1,2,1,4,1
18,12.04555,6.0,7,2,0,3,1
9,25.69435,30.0,7,2,0,3,0
9,25.6883,20.0,4,2,0,3,0
24,25.6341525,21.0,6,2,0,3,0
12,18.104625,25.0,14,2,0,4,0
20,25.67015,22.0,6,3,0,4,0
8,12.0758,36.0,6,2,0,3,1
16,18.146975,21.0,5,2,0,3,0
21,18.134875,14.0,14,3,0,3,0
0,10.995875,21.0,11,2,1,5,1
19,18.122775,5.0,3,3,0,4,0
17,25.618725,28.0,3,2,1,4,1
11,18.050175,24.0,13,3,0,3,0
17,39.606325,41.0,12,1,1,4,1
12,34.494075,22.0,1,4,0,4,0
2,17.699275,50.0,3,2,0,3,0
15,25.7004,24.0,10,1,0,4,0
17,21.99175,41.0,8,2,1,4,1
17,34.7149,30.0,5,2,1,4,1
6,18.068325,26.0,7,1,0,3,0
19,25.673175,28.0,7,2,0,4,0
3,18.1016,17.0,9,3,0,2,0
0,25.691325000000003,19.0,11,1,1,5,1
6,25.6867875,24.0,18,1,0,3,0
19,25.691325000000003,39.0,7,3,0,4,0
17,25.618725,28.0,3,2,1,4,1
10,25.62175,24.0,16,2,0,3,0
1,18.1137,26.0,1,2,0,2,0
24,15.055425,29.0,6,2,0,3,0
11,25.709475,11.0,6,3,0,3,0
17,25.652,17.0,10,2,1,4,1
19,34.7754,22.0,9,2,0,4,0
14,18.10765,7.0,10,5,1,5,1
14,25.7004,13.0,24,2,1,5,1
13,18.0774,27.0,7,1,0,4,0
13,25.22245,26.0,9,2,0,4,0
13,25.697375,7.0,6,3,0,4,0
13,25.68225,25.0,9,1,0,4,0
17,31.902255,4.0,5,2,1,4,1
14,25.67015,27.0,7,2,1,5,1
24,18.0774,28.0,12,2,0,3,0
8,13.845425,37.0,10,2,0,3,1
8,25.697375,9.0,16,2,0,3,1
9,25.6883,20.0,4,2,0,3,0
8,8.1675,37.0,7,2,0,3,1
1,18.146975,6.0,19,3,0,2,0
21,17.959425,16.0,3,2,0,3,0
12,18.119145,4.0,9,5,0,4,0
19,22.1227325,23.0,7,3,0,4,0
20,18.086475,6.0,11,3,0,4,0
12,25.578795000000003,6.0,16,2,0,4,0
19,27.869325,50.0,3,2,0,4,0
11,18.050175,24.0,20,3,0,3,0
24,10.03695,29.0,1,2,0,3,0
18,25.7004,25.0,16,2,0,3,1
24,15.103825,29.0,10,2,0,3,0
1,18.104625,29.0,9,1,0,2,0
6,25.6867875,24.0,18,1,0,3,0
5,18.140925,26.0,4,1,0,3,0
8,25.709475,5.0,11,3,0,3,1
8,13.113375,36.0,2,2,0,3,1
8,25.697375,9.0,16,2,0,3,1
11,18.146975,4.0,18,3,0,3,0
1,25.691325000000003,33.0,3,2,0,2,0
3,10.164,32.0,1,2,0,2,0
7,25.709475,25.0,7,2,0,3,0
10,17.95035,25.0,16,2,0,3,0
8,9.797975,38.0,4,2,0,3,1
9,25.691325000000003,35.0,3,2,0,3,0
13,15.799575,44.0,2,2,0,4,0
16,25.437225,20.0,1,2,0,3,0
18,25.70645,22.0,15,2,0,3,1
12,25.364625,18.0,24,2,0,4,0
17,18.14032,18.0,11,4,1,4,1
23,25.7004,26.0,7,2,0,5,0
24,17.97939,21.0,5,2,0,3,0
6,25.697375,24.0,24,2,0,3,0
15,18.1379,25.0,24,2,0,4,0
17,13.99365,36.0,12,2,1,4,1
1,17.880775,6.0,32,4,0,2,0
0,37.150025,24.0,10,4,1,5,1
3,11.979,31.0,5,2,0,2,0
19,25.70645,24.0,2,5,0,4,0
17,18.03505,30.0,1,2,1,4,1
7,17.95035,21.0,20,2,0,3,0
4,34.784475,25.0,3,1,0,3,0
18,25.70645,22.0,15,2,0,3,1
17,25.6036,33.0,9,1,1,4,1
18,25.69435,4.0,13,4,0,3,1
14,18.1478825,15.0,26,2,1,5,1
19,20.21305,42.0,11,2,0,4,0
12,25.7004,27.0,4,2,0,4,0
9,25.6883,20.0,4,2,0,3,0
15,17.9685,24.0,6,2,0,4,0
9,17.723475,37.0,5,2,0,3,0
15,18.11975,24.0,5,2,0,4,0
8,15.515225,36.0,3,2,0,3,1
11,18.1379,34.0,2,1,0,3,0
24,17.2996725,23.0,23,2,0,3,0
17,25.709475,7.0,17,2,1,4,1
19,7.376462500000001,3.0,17,2,0,4,0
11,25.709475,11.0,2,3,0,3,0
19,17.9685,26.0,9,2,0,4,0
18,29.835575,38.0,2,2,0,3,1
10,5.310992499999999,12.0,6,2,0,3,0
16,18.13185,27.0,14,2,0,3,0
12,25.697375,18.0,3,2,0,4,0
12,25.671965,3.0,6,5,0,4,0
19,22.1227325,23.0,2,3,0,4,0
19,25.59755,34.0,17,1,0,4,0
24,14.795274999999998,50.0,4,2,0,3,0
0,25.432385,11.0,27,5,1,5,1
0,10.977725,21.0,6,2,1,5,1
0,12.3308075,17.0,9,3,1,5,1
16,18.134875,22.0,3,2,0,3,0
14,20.845275,47.0,12,2,1,5,1
17,25.691325000000003,17.0,2,2,1,4,1
12,18.14395,26.0,5,2,0,4,0
12,18.14395,26.0,5,2,0,4,0
18,22.99,21.0,11,2,0,3,1
18,22.99,21.0,11,2,0,3,1
15,20.74545,39.0,9,2,0,4,0
1,17.953375,9.0,5,4,0,2,0
1,18.146975,6.0,2,3,0,2,0
15,25.703425,13.0,4,5,0,4,0
2,18.1466725,3.0,5,2,0,3,0
21,18.140925,4.0,7,3,0,3,0
21,24.16975,20.0,4,2,0,3,0
19,25.52495,24.0,11,2,0,4,0
1,28.3893225,1.0,10,3,0,2,0
8,25.6762,22.0,11,2,0,3,1
20,37.51605,10.0,11,4,0,4,0
19,22.1227325,23.0,2,3,0,4,0
18,25.703425,5.0,10,1,0,3,1
18,25.7097775,10.0,26,3,0,3,1
18,15.5727,37.0,11,2,0,3,1
18,25.642925,28.0,5,2,0,3,1
14,18.122775,25.0,11,3,1,5,1
7,25.709475,25.0,16,2,0,3,0
6,34.6302,30.0,22,2,0,3,0
12,25.612675,20.0,10,3,0,4,0
12,25.612675,20.0,10,3,0,4,0
12,25.70887,18.0,6,2,0,4,0
14,25.703425,15.0,15,3,1,5,1
14,44.204325,24.0,13,2,1,5,1
18,18.11975,25.0,2,2,0,3,1
2,25.7019125,15.0,12,2,0,3,0
19,18.14395,6.0,13,3,0,4,0
19,18.14395,4.0,22,5,0,4,0
24,25.606625,11.0,9,2,0,3,0
19,16.144425,38.0,5,2,0,4,0
9,25.68225,30.0,10,2,0,3,0
4,34.69675,17.0,8,2,0,3,0
19,25.7004,26.0,19,2,0,4,0
0,25.2769,42.0,15,2,1,5,1
19,23.912625,23.0,7,4,0,4,0
3,7.284199999999999,5.0,10,2,0,2,0
15,5.5539,7.0,6,3,0,4,0
17,25.146825,21.0,6,2,1,4,1
21,25.6641,18.0,14,2,0,3,0
1,34.567280000000004,18.0,24,2,0,2,0
3,14.883,31.0,6,2,0,2,0
11,25.582425,29.0,13,1,0,3,0
17,24.989525,47.0,4,2,1,4,1
17,23.14125,47.0,15,2,1,4,1
18,22.99,21.0,11,2,0,3,1
20,18.09555,26.0,11,2,0,4,0
4,25.652,24.0,6,2,0,3,0
11,37.742925,28.0,5,2,0,3,0
18,25.703425,5.0,10,1,0,3,1
15,25.50075,9.0,16,3,0,4,0
15,49.87015,27.0,10,1,0,4,0
11,25.7079625,22.0,15,2,0,3,0
15,25.55641,3.0,5,2,0,4,0
19,18.122775,5.0,18,3,0,4,0
20,20.082975,22.0,2,5,0,4,0
20,20.082975,22.0,1,5,0,4,0
21,25.71008,2.0,16,2,0,3,0
3,11.979,33.0,11,2,0,2,0
13,25.7091725,10.0,15,3,0,4,0
19,9.598325,26.0,10,1,0,4,0
11,25.697375,22.0,2,2,0,3,0
11,17.723475,33.0,15,1,0,3,0
10,18.1016,21.0,23,2,0,3,0
17,29.9475,46.0,9,2,1,4,1
16,18.140925,20.0,2,3,0,3,0
19,18.029,29.0,12,2,0,4,0
16,18.146975,15.0,4,4,0,3,0
15,34.584824999999995,14.0,11,3,0,4,0
12,25.661075,16.0,1,2,0,4,0
16,24.529725,22.0,17,2,0,3,0
5,5.000325,11.0,11,2,0,3,0
15,25.63385,14.0,4,3,0,4,0
7,28.6165,19.0,14,2,0,3,0
12,4.322724999999999,7.0,16,2,0,4,0
