CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
8,16.55885,21.0,1,2,0,3,1
21,18.14395,8.0,14,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,23.664575,22.0,10,3,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
18,22.950675,29.0,5,2,0,3,1
15,18.1379,25.0,22,2,0,4,0
0,40.667495,31.0,4,2,1,5,1
4,25.6641,29.0,14,2,0,3,0
18,30.192525,21.0,5,2,0,3,1
18,22.950675,29.0,5,2,0,3,1
15,25.68225,35.0,1,1,0,4,0
24,20.6063,29.0,6,2,0,3,0
11,25.70645,7.0,9,4,0,3,0
15,18.146975,13.0,17,4,0,4,0
1,17.880775,6.0,2,4,0,2,0
11,25.65079,22.0,2,4,0,3,0
9,16.0809,39.0,1,2,0,3,0
8,14.97375,31.0,8,2,0,3,1
2,5.640717499999999,11.0,14,3,0,3,0
3,12.0879,31.0,2,2,0,2,0
10,14.7378,8.0,14,2,0,3,0
4,18.1379,17.0,7,2,0,3,0
0,36.266725,19.0,2,2,1,5,1
4,25.6641,29.0,8,2,0,3,0
8,25.69435,36.0,9,2,0,3,1
10,34.11595,22.0,16,1,0,3,0
11,25.5915,26.0,19,2,0,3,0
6,22.2882,39.0,7,2,0,3,0
21,25.4826,24.0,16,2,0,3,0
15,25.6883,9.0,7,3,0,4,0
6,16.31685,39.0,2,2,0,3,0
15,18.146975,16.0,15,1,0,4,0
9,16.0809,39.0,3,2,0,3,0
8,15.10685,37.0,4,2,0,3,1
15,18.1448575,6.0,1,3,0,4,0
8,11.979,31.0,13,2,0,3,1
18,14.293125,39.0,6,2,0,3,1
19,12.4146,38.0,13,1,0,4,0
9,21.36255,39.0,1,2,0,3,0
24,21.6562775,24.0,3,2,0,3,0
12,18.14395,26.0,19,2,0,4,0
16,18.146975,5.0,5,4,0,3,0
8,13.4673,37.0,10,2,0,3,1
11,25.6662175,12.0,12,2,0,3,0
24,20.6063,29.0,11,2,0,3,0
0,42.020275,20.0,4,2,1,5,1
16,18.1061375,22.0,17,1,0,3,0
4,25.673175,25.0,5,1,0,3,0
7,25.703425,21.0,3,2,0,3,0
12,18.1267075,11.0,5,4,0,4,0
8,34.778425,23.0,6,2,0,3,1
